SP500	AAPL	MSFT
0.028417906	0.06530036	0.022050014
0.058671512	0.148345532	0.021500473
0.014630155	0.110892133	0.042547625
-0.082100756	-0.01624956	-0.151519286
-0.054023998	-0.02096849	-0.108281006
0.068661258	0.022624234	0.121569513
-0.047561614	-0.055117256	-0.085924072
0.087422028	0.167085976	0.043330705
0.036764374	0.060630895	0.088924268
-0.002423485	0.033656396	-0.047182146
0.065204258	0.036574698	0.104813195
0.022524821	0.051838443	-0.006570059
0.031844134	0.04082243	-0.035918302
-0.001122282	-0.01338146	-0.044845457
0.028462053	0.004614973	0.020841046
-0.01353428	-0.006602306	-0.028816791
-0.01826996	-0.034972077	0.039571653
-0.021549395	0.163210383	0.05377115
-0.056803607	-0.014481875	-0.023082192
-0.071770321	-0.009129272	-0.064294027
0.107718872	0.061519028	0.0699034
-0.005071214	-0.055795975	-0.032208453
0.008528597	0.05965059	0.014851125
0.04353724	0.127065223	0.137473589
0.040526986	0.188248164	0.081852554
0.031278164	0.105229317	0.016328947
-0.007572422	-0.026044471	-0.007514438
-0.062700712	-0.010752351	-0.082450601
0.03948834	0.010786136	0.047895026
0.012514279	0.045738639	-0.036696558
0.019692564	0.093805981	0.052666607
0.024161185	0.002721053	-0.034468181
-0.019876868	-0.107687534	-0.041082089
0.002784238	-0.012437004	-0.059672068
0.007039068	-0.090772097	0.003351734
0.050373946	-0.144143404	0.027650867
0.010977354	-0.025369276	0.021052005
0.035933573	0.002800438	0.029082652
0.018048276	0.000233522	0.156900538
0.020737815	0.022394245	0.061749276
-0.015024298	-0.118318251	-0.010340216
0.049437083	0.141200086	-0.078195283
-0.031314684	0.083750185	0.056370244
0.029745357	-0.021493587	-0.003597066
0.044568257	0.096354274	0.063974865
0.02800365	0.070006915	0.084935265
0.023510307	0.008849253	-0.01893528
-0.035591239	-0.107705043	0.011485969
0.043081204	0.057475045	0.019976698
0.006908835	0.01992952	0.0699322
0.006184124	0.099379705	-0.014410366
0.021005283	0.07868431	0.020490264
0.019041667	0.027645215	0.018547144
-0.015094829	0.028716287	0.034997004
0.037640297	0.077493851	0.059154221
-0.01552467	-0.01708401	0.020460293
0.023198961	0.071957848	0.012723987
0.024529422	0.105974568	0.024735938
-0.004219416	-0.071921934	-0.028476741
-0.031044972	0.061420072	-0.130251789
0.054885845	0.100769924	0.093113766
-0.017416938	-0.031392474	-0.072768841
0.008516653	0.005782199	0.196257468
0.010488882	0.045336526	-0.030336745
-0.021020005	-0.037235827	-0.057840097
0.019693709	-0.032975031	0.057709238
-0.062583318	-0.0661987	-0.061951377
-0.026446998	-0.021820378	0.016999474
0.082926469	0.083352188	0.189279041
0.000363313	-0.005945847	0.039302513
-0.017653435	-0.110351481	0.020667983
-0.050984979	-0.075491985	-0.007279227
-0.004384665	-0.001543753	-0.070045558
0.065830423	0.127049949	0.0853346
0.002538707	-0.140081775	-0.097209419
0.015089074	0.071537367	0.06996109
0.000704489	-0.042866216	-0.034734736
0.035410021	0.089863037	0.107480526
-0.001485519	0.023385621	0.019813586
-0.011143619	0.089024068	-0.004930293
